Chunk,Result
Position,0
AI Engineer,0
CV Parsing Location,0
UAE Salary,0
1000 $,0
1500 $ Job,0
Remote Job Description,0
We,0
an experienced AI Engineer,0
expertise,0
CV,0
our growing team,0
an AI Engineer,0
you,0
our CV parsing software,0
which,0
information,0
resumes and job applications,0
our hiring process,0
Responsibilities,0
Develop,0
natural language processing,1
NLP,1
machine learning algorithms,0
Collaborate,0
cross-functional teams,1
business needs,0
them,0
technical requirements,0
Identify,0
troubleshoot issues,0
the CV parsing software,0
propose solutions,0
accuracy and efficiency,0
Stay up-to-date,0
industry trends,0
technologies,0
CV parsing and machine learning,0
Train and deploy models,1
a production environment,1
Requirements,0
Bachelor,0
's or,0
Master,0
's degree,0
Computer Science,1
Electrical Engineering,0
related field,0
2+ years,0
experience,0
AI engineering,1
a focus,0
natural language processing and machine learning,0
Strong programming skills,1
Python,1
other programming languages,1
Experience,0
machine,0
libraries,0
TensorFlow,1
PyTorch,1
Keras,1
CV parsing software,0
Rchilli,1
Sovren,1
Textkernel,1
Strong problem-solving skills and ability,0
part,0
a team,0
AI,1
CV parsing,1
we,0
Please,0
your resume and cover letter,0
touch,0
Engineer,0
CV Parsing,1
Job,0
Description,0
parsing software,0
job applications,0
machine learning,1
Stay,0
deploy models,1
production environment,1
Computer,0
Science,0
Electrical,0
Engineering,0
problem-solving skills,1
cover letter,0
Job Purpose,0
The Data Support Engineer,0
technical support,1
Azure related tasks,0
a focus,0
data quality and accuracy,1
The role,0
data,1
and,0
the needs,0
the business,0
which,0
enhancements,0
existing pipelines,0
enhancement,0
existing,0
data models/reports,1
Key,0
The Azure Data Support engineer focuses,0
data-related tasks,1
Azure,1
Manage,0
monitor,0
the security and privacy,0
business needs,0
Monitor real time and batch processes,0
data accuracy,1
Monitor azure pipelines and troubleshoot,0
Enhance,0
pipelines,1
databricks,1
development stages,0
new pipelines,1
Troubleshoot pipelines,1
real time replication jobs,1
minimum data lag,1
a shift basis,0
monitoring,0
weekends,0
one weekend,0
three,0
Act,0
an ambassador,0
DP World,0
all times,0
positive behaviours,0
harmony,0
DP World ’ s Principles,0
values and culture,0
the highest level,0
safety,0
all activities,0
DP World ’ s Code,0
Conduct,0
Ethics policies Perform other related duties,0
assigned Qualifications,0
Experience,0
Skills Qualifications Bachelor/master ’ s,0
computer science/IT or equivalent,0
Azure certifications,1
an added advantage,0
Certification,0
AZ-900 and/or AZ-204,0
AZ-303,1
AZ-304 or AZ-400,0
